Month,Quarter,Department,Cost Category,Cost Type,Project Code,Budgeted Amount,Actual Amount,Approval Status,Comments
January,Q1,Sales,Travel,Variable,PROJ001,14000,14500,Approved,Client visit expenses
January,Q1,Sales,Salaries,Fixed,PROJ004,25000,25500,Approved,Monthly salaries payout
January,Q1,Sales,Equipment,Semi-Variable,PROJ002,8000,9000,Pending,Laptop upgrades
January,Q1,Sales,Training,Fixed,PROJ003,6000,5900,Approved,Sales skills workshop
January,Q1,Sales,Supplies,Variable,PROJ005,4000,3800,Approved,Office consumables
January,Q1,Marketing,Travel,Variable,PROJ006,15000,16000,Approved,Trade show attendance
January,Q1,Marketing,Salaries,Fixed,PROJ007,23000,22000,Approved,Team salaries
January,Q1,Marketing,Equipment,Semi-Variable,PROJ002,9000,9500,Pending,Ad campaign hardware
January,Q1,Marketing,Training,Fixed,PROJ008,7000,6800,Approved,Marketing certifications
January,Q1,Marketing,Supplies,Variable,PROJ005,3000,3100,Approved,Stationery
January,Q1,IT,Travel,Variable,PROJ001,10000,9500,Approved,Vendor visits
January,Q1,IT,Salaries,Fixed,PROJ004,27000,28000,Approved,Developer salaries
January,Q1,IT,Equipment,Semi-Variable,PROJ002,15000,16000,Approved,Server upgrades
January,Q1,IT,Training,Fixed,PROJ009,8000,8200,Approved,Cybersecurity training
January,Q1,IT,Supplies,Variable,PROJ005,3500,3300,Approved,Office supplies
January,Q1,Operations,Travel,Variable,PROJ006,9000,8800,Approved,Site visits
January,Q1,Operations,Salaries,Fixed,PROJ007,24000,23500,Approved,Operations salaries
January,Q1,Operations,Equipment,Semi-Variable,PROJ002,11000,11500,Pending,Maintenance equipment
January,Q1,Operations,Training,Fixed,PROJ008,6000,6100,Approved,Health & safety training
January,Q1,Operations,Supplies,Variable,PROJ005,3000,2900,Approved,Warehouse consumables
January,Q1,HR,Travel,Variable,PROJ001,8000,8500,Approved,Recruitment travel
January,Q1,HR,Salaries,Fixed,PROJ004,20000,20500,Approved,HR salaries
January,Q1,HR,Equipment,Semi-Variable,PROJ002,7000,6900,Rejected,Old equipment disposal
January,Q1,HR,Training,Fixed,PROJ003,5000,4800,Approved,Leadership workshops
January,Q1,HR,Supplies,Variable,PROJ005,2500,2600,Approved,Office supplies
February,Q1,Sales,Travel,Variable,PROJ001,14500,14200,Approved,Client visits
February,Q1,Sales,Salaries,Fixed,PROJ004,25500,26000,Approved,Monthly salaries
February,Q1,Sales,Equipment,Semi-Variable,PROJ002,8500,8300,Approved,Laptop replacements
February,Q1,Sales,Training,Fixed,PROJ003,6200,6300,Approved,Sales workshop
February,Q1,Sales,Supplies,Variable,PROJ005,4200,4100,Approved,Office consumables
February,Q1,Marketing,Travel,Variable,PROJ006,15500,15800,Approved,Trade shows
February,Q1,Marketing,Salaries,Fixed,PROJ007,23500,23000,Approved,Team salaries
February,Q1,Marketing,Equipment,Semi-Variable,PROJ002,9500,9400,Pending,Ad hardware
February,Q1,Marketing,Training,Fixed,PROJ008,7200,7100,Approved,Certifications
February,Q1,Marketing,Supplies,Variable,PROJ005,3200,3300,Approved,Stationery
February,Q1,IT,Travel,Variable,PROJ001,10500,10800,Approved,Vendor visits
February,Q1,IT,Salaries,Fixed,PROJ004,27500,28000,Approved,Developer salaries
February,Q1,IT,Equipment,Semi-Variable,PROJ002,15500,15800,Approved,Server upgrades
February,Q1,IT,Training,Fixed,PROJ009,8200,8100,Approved,Cybersecurity training
February,Q1,IT,Supplies,Variable,PROJ005,3600,3550,Approved,Office supplies
February,Q1,Operations,Travel,Variable,PROJ006,9200,9000,Approved,Site visits
February,Q1,Operations,Salaries,Fixed,PROJ007,24500,24000,Approved,Operations salaries
February,Q1,Operations,Equipment,Semi-Variable,PROJ002,11200,11000,Pending,Maintenance
February,Q1,Operations,Training,Fixed,PROJ008,6100,6200,Approved,Health & safety
February,Q1,Operations,Supplies,Variable,PROJ005,3100,3050,Approved,Warehouse supplies
February,Q1,HR,Travel,Variable,PROJ001,8200,8300,Approved,Recruitment travel
February,Q1,HR,Salaries,Fixed,PROJ004,20500,21000,Approved,HR salaries
February,Q1,HR,Equipment,Semi-Variable,PROJ002,7200,7100,Rejected,Old equipment
February,Q1,HR,Training,Fixed,PROJ003,5100,5000,Approved,Leadership training
February,Q1,HR,Supplies,Variable,PROJ005,2600,2650,Approved,Office supplies
March,Q1,Sales,Travel,Variable,PROJ001,15000,14700,Approved,Client visits
March,Q1,Sales,Salaries,Fixed,PROJ004,26000,26500,Approved,Monthly salaries
March,Q1,Sales,Equipment,Semi-Variable,PROJ002,8700,8800,Approved,Laptop upgrades
March,Q1,Sales,Training,Fixed,PROJ003,6300,6400,Approved,Sales workshop
March,Q1,Sales,Supplies,Variable,PROJ005,4300,4200,Approved,Office consumables
March,Q1,Marketing,Travel,Variable,PROJ006,16000,16500,Approved,Trade shows
March,Q1,Marketing,Salaries,Fixed,PROJ007,24000,23500,Approved,Team salaries
March,Q1,Marketing,Equipment,Semi-Variable,PROJ002,9600,9700,Pending,Ad hardware
March,Q1,Marketing,Training,Fixed,PROJ008,7300,7200,Approved,Certifications
March,Q1,Marketing,Supplies,Variable,PROJ005,3300,3350,Approved,Stationery
March,Q1,IT,Travel,Variable,PROJ001,11000,11200,Approved,Vendor visits
March,Q1,IT,Salaries,Fixed,PROJ004,28000,28500,Approved,Developer salaries
March,Q1,IT,Equipment,Semi-Variable,PROJ002,16000,16500,Approved,Server upgrades
March,Q1,IT,Training,Fixed,PROJ009,8300,8400,Approved,Cybersecurity training
March,Q1,IT,Supplies,Variable,PROJ005,3700,3600,Approved,Office supplies
March,Q1,Operations,Travel,Variable,PROJ006,9400,9300,Approved,Site visits
March,Q1,Operations,Salaries,Fixed,PROJ007,25000,24500,Approved,Operations salaries
March,Q1,Operations,Equipment,Semi-Variable,PROJ002,11300,11500,Pending,Maintenance
March,Q1,Operations,Training,Fixed,PROJ008,6200,6150,Approved,Health & safety
March,Q1,Operations,Supplies,Variable,PROJ005,3150,3100,Approved,Warehouse supplies
March,Q1,HR,Travel,Variable,PROJ001,8300,8400,Approved,Recruitment travel
March,Q1,HR,Salaries,Fixed,PROJ004,21000,21500,Approved,HR salaries
March,Q1,HR,Equipment,Semi-Variable,PROJ002,7300,7200,Rejected,Old equipment
March,Q1,HR,Training,Fixed,PROJ003,5200,5100,Approved,Leadership training
March,Q1,HR,Supplies,Variable,PROJ005,2700,2650,Approved,Office supplies
April,Q2,Sales,Travel,Variable,PROJ001,15500,15000,Approved,Client visits
April,Q2,Sales,Salaries,Fixed,PROJ004,26500,27000,Approved,Monthly salaries
April,Q2,Sales,Equipment,Semi-Variable,PROJ002,8800,8700,Approved,Laptop upgrades
April,Q2,Sales,Training,Fixed,PROJ003,6400,6500,Approved,Sales workshop
April,Q2,Sales,Supplies,Variable,PROJ005,4400,4300,Approved,Office consumables
April,Q2,Marketing,Travel,Variable,PROJ006,16500,17000,Approved,Trade shows
April,Q2,Marketing,Salaries,Fixed,PROJ007,24500,24000,Approved,Team salaries
April,Q2,Marketing,Equipment,Semi-Variable,PROJ002,9700,9600,Pending,Ad hardware
