Month,Date_Month,Quarter,Date_Quarter,Updated_Date_Quarter,Year,Department,Cost_Category,Cost_Type,Project_Code,Budgeted_Amount,Actual_Amount,Approval_Status,Comments,Variance,Variance _Percentage
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Sales,Travel,Variable,PROJ001,14000,14500,Approved,Client visit expenses,500,3.6
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Sales,Salaries,Fixed,PROJ004,25000,25500,Approved,Monthly salaries,500,2
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,8000,9000,Pending,Laptop upgrades,1000,12.5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Sales,Training,Fixed,PROJ003,6000,5900,Approved,Sales skills workshop,-100,-1.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Sales,Supplies,Variable,PROJ005,4000,3800,Approved,Office supplies,-200,-5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Travel,Variable,PROJ006,15000,16000,Approved,Trade show attendance,1000,6.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Salaries,Fixed,PROJ007,23000,22000,Approved,Team salaries,-1000,-4.3
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9000,9500,Pending,Ad campaign hardware,500,5.6
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Training,Fixed,PROJ008,7000,6800,Approved,Marketing certifications,-200,-2.9
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Supplies,Variable,PROJ005,3000,3100,Approved,Stationery,100,3.3
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,IT,Travel,Variable,PROJ001,10000,9500,Approved,Vendor visits,-500,-5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,IT,Salaries,Fixed,PROJ004,27000,28000,Approved,Developer salaries,1000,3.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,IT,Equipment,Semi-Variable,PROJ002,15000,16000,Approved,Server upgrades,1000,6.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,IT,Training,Fixed,PROJ009,8000,8200,Approved,Cybersecurity training,200,2.5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,IT,Supplies,Variable,PROJ005,3500,3300,Approved,Office supplies,-200,-5.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Operations,Travel,Variable,PROJ006,9000,8800,Approved,Site visits,-200,-2.2
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Operations,Salaries,Fixed,PROJ007,24000,23500,Approved,Operations salaries,-500,-2.1
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11000,11500,Pending,Maintenance equipment,500,4.5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Operations,Training,Fixed,PROJ008,6000,6100,Approved,Health & safety training,100,1.7
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,Operations,Supplies,Variable,PROJ005,3000,2900,Approved,Warehouse supplies,-100,-3.3
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,HR,Travel,Variable,PROJ001,8000,8500,Approved,Recruitment travel,500,6.3
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,HR,Salaries,Fixed,PROJ004,20000,20500,Approved,HR salaries,500,2.5
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7000,6900,Rejected,Old equipment disposal,-100,-1.4
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,HR,Training,Fixed,PROJ003,5000,4800,Approved,Leadership workshops,-200,-4
January,Jan-24,Q1,01/01/2024,Q1 2024,2024,HR,Supplies,Variable,PROJ005,2500,2600,Approved,Office supplies,100,4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Sales,Travel,Variable,PROJ001,14500,14200,Approved,Client visit expenses,-300,-2.1
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Sales,Salaries,Fixed,PROJ004,25500,26000,Approved,Monthly salaries,500,2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Sales,Equipment,Semi-Variable,PROJ002,8500,8300,Approved,Laptop upgrades,-200,-2.4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Sales,Training,Fixed,PROJ003,6200,6300,Approved,Sales skills workshop,100,1.6
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Sales,Supplies,Variable,PROJ005,4200,4100,Approved,Office supplies,-100,-2.4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Travel,Variable,PROJ006,15500,15800,Approved,Trade show attendance,300,1.9
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Salaries,Fixed,PROJ007,23500,23000,Approved,Team salaries,-500,-2.1
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Equipment,Semi-Variable,PROJ002,9500,9400,Pending,Ad campaign hardware,-100,-1.1
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Training,Fixed,PROJ008,7200,7100,Approved,Certifications,-100,-1.4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Marketing,Supplies,Variable,PROJ005,3200,3300,Approved,Stationery,100,3.1
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,IT,Travel,Variable,PROJ001,10500,10800,Approved,Vendor visits,300,2.9
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,IT,Salaries,Fixed,PROJ004,27500,28000,Approved,Developer salaries,500,1.8
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,IT,Equipment,Semi-Variable,PROJ002,15500,15800,Approved,Server upgrades,300,1.9
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,IT,Training,Fixed,PROJ009,8200,8100,Approved,Cybersecurity training,-100,-1.2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,IT,Supplies,Variable,PROJ005,3600,3550,Approved,Office supplies,-50,-1.4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Operations,Travel,Variable,PROJ006,9200,9000,Approved,Site visits,-200,-2.2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Operations,Salaries,Fixed,PROJ007,24500,24000,Approved,Operations salaries,-500,-2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Operations,Equipment,Semi-Variable,PROJ002,11200,11000,Pending,Maintenance equipment,-200,-1.8
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Operations,Training,Fixed,PROJ008,6100,6200,Approved,Health & safety training,100,1.6
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,Operations,Supplies,Variable,PROJ005,3100,3050,Approved,Warehouse supplies,-50,-1.6
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,HR,Travel,Variable,PROJ001,8200,8300,Approved,Recruitment travel,100,1.2
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,HR,Salaries,Fixed,PROJ004,20500,21000,Approved,HR salaries,500,2.4
February,Feb-24,Q1,01/01/2024,Q1 2024,2024,HR,Equipment,Semi-Variable,PROJ002,7200,7100,Rejected,Old equipment disposal,-100,-1.4
